artist,song,lyrics
Tears For Fears,Everybody Wants To Rule The World,"Break 'em!  Shit! Yo! Yeah!  Just wakin' up in the mornin', gotta thank God I don't know but today seems kinda odd No barkin' from the dog, no smog And momma cooked a breakfast with no hog I got my grub on, but didn't pig out Finally, got a call from a girl I wanna dig out Hooked it up fo' later as I hit the do' Thinkin', ""Will I live another 24'?""  I gotta go 'cause I got me a drop top And if I hit the switch, I can make the ass drop Had to stop, at a red light Lookin' in my mirror, not a jacker in sight  And everything is alright I got a beep from Kim, and she can fuck all night Called up the homies, and I'm askin' y'all Which park, are y'all playin' basketball? Get me on the court and I'm trouble Last week fucked around and got a triple-double ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
PinkPantheress,Pain,I never stay in one place too long A dirt road's singing me a siren song I gotta find a field I need to spin my wheels I got a hankering for four wide tires And I can't help it it's the way I'm wired 'Fore you get too close Boy you need to know  I got a heart like a truck It's been drug through the mud Runs on dreams and gasoline And that ole highway holds the key It's got a lead foot down when it's leaving Lord knows it's taken a hell of a beating A little bit of love is all that it's needing But it's good as it is tough I got a heart like a truck ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Childish Gambino,Redbone,"Walk around the world, it feel like every place the same I look into your eyes and see that you are in some pain Freddie gonna help the business, help a rope around your neck Gonna help you make a choice, let it sit, don't let it rest You a pest, what the fuck, you left a mess It's okay, I'll just say that your body's gone today You in Hell, I don't think you failed, you just made some bail Come that day, it gets worse, and I hope you fucking hurt  Now what's the word, captain? I think I caught you lackin' There are nine more layers than this hell's packin' No tippy tappin', bitch I come in rippy rappin' I feel lucky I'm not you At the top I do the do Stuck in the fuckin' darkness, and it's cold, and hot Haven't felt sun in some days, bitch, where do I start? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
J. Cole,MIDDLE CHILD,"Never need a bitch, I'm what a bitch need (Bitch need) Tryna find the one that can fix me I've been dodgin' death in the six speed Amphetamine got my stummy feelin' sickly  Yeah, I want it all now I've been runnin' through the pussy, need a dog pound Hundred models gettin' faded in the compound Tryna love me, but they never get a pulse down  Why? 'Cause I'm heartless And I'm back to my ways 'cause I'm heartless All this money and this pain got me heartless Low life for life 'cause I'm heartless  Said I'm heartless Tryna be a better man, but I'm heartless Never be a weddin' plan for the heartless Low life for life 'cause I'm heartless  Said I'm heartless ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Eminem, Rihanna",Love The Way You Lie,"You're the only power (Power) You're the only power that can You're the only power (Power) You're the only power that can Fa (Fa), fa (Fa), fa (Fa) Father  If young Metro don't trust you I'm gon' shoot you  Beautiful morning, you're the sun in my morning babe Nothing unwanted Beautiful morning, you're the sun in my morning babe Nothing unwanted  I just wanna feel liberated, I, I, I ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Ice Cube,It Was A Good Day,While she's been away Living day-to-day has been tough  I found her at my side Simply being alive has been rough  Know she won't be gone forever There are many times I find it feels that way  And I'm not trying to forget her ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Lainey Wilson,Heart Like A Truck,Spend some time away Getting ready for the day you're born again Spend some time alone Understand that soon you'll run with better men  Alone again Alone again Alone again ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Freddie Dredd,Limbo,
The Weeknd,Heartless,"Hace mucho tiempo le hago caso al corazón Y pasan los día', los mese' pensando en tu olor Ha llegado el tiempo para usar la razón Ante' que sea tarde y sin querer me parta en do'  Antes de que salga el sol y hunda el acelerador Que vaya sin frenos y pierda el control Nada más seremos do', tú y yo acariciándono' En medio del tiempo, sin decir adiós  Y solo mírame con esos ojito' lindo' Que con eso yo estoy bien Hoy he vuelto a nacer  Hacе tiempo que no agarro a nadie de la mano Hace tiempo que no envío: ""Buenos días, te amo""  Pero tú me tiene' enredao, me envolví Iba por mi camino y me perdí Mi mirada cambió cuando tus ojos vi Bye-bye a los culo', ni me despedí  Yo no te busqué, no Chocamo' en el trayecto Con tu alma es la que yo conecto Tranquila, no tiene que ser perfecto, no  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kanye West,Father Stretch My Hands Pt. 1,"Half past twelve I was all alone I can't be compromised Fuckin' on my ex, we ain't apologize 'Cause I'm way too young and you always right  Threw it in my face, I'm on another flight Girl at home, I ain't been living right The little arguments always start the fight I had to get away so I'm with you tonight Is there another guy?  Be honest, honest, honest, are you honest? 'Cause I'm honest, honest, honest, let's be honest 'Cause I'm honest, honest, honest, are you honest? 'Cause I'm honest, honest, honest, let's be honest 'Cause I'm honest ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Mac DeMarco,For the First Time,"I don't wanna talk right now I just wanna watch TV I'll stay in the pool and drown So I don't have to watch you leave  I put on ""Survivor"", just to watch somebody suffer Maybe I should get some sleep Sinking in the sofa while they all betray each other What's the point of anything?  All of my friends are missing again That's what happens when you fall in love You don't have the time, you leave them all behind You tell yourself it's fine, you're just in love  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Mac DeMarco,Chamber Of Reflection,"Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up?  Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up?  It goes one by one, even two by two Everybody on the floor, let me show you how we do Let's go, dip it low, then you bring it up slow Wind it up one time, wind it back once more  Come run, run, run, run Everybody move, run Lemme see you move and rock it 'til the groove done Shake it 'til the moon becomes the sun (Sun) Everybody in the club, give me a run (Run) If you ready to move say it (Yeah) One time for your mind say it (Yeah, yeah) Well, I'm ready for ya Come let me show ya You want to groove, I'mma show you how to move  Come, come Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up?  Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Eminem,Mockingbird,"Am I really hard to please? Perhaps I have such special needs  I wondered what was wrong with me (hahahahahaha) My friends all fall so easily (pussies)  Called the first one Savage Mode, my mood, that's what it was (21) 2016, we was ridin' around, beatin' niggas up in the club I know she around for the money, but act like she loyal, I don't feel the love (21) I'm so rich, get bored, might wake up, buy me a car just 'cause (on God) Her titties is hard 'cause she spent a five, my bitch titties cost me a dub (21) All my bitches got BBLs, all my bitches got butts (straight up) I ain't with the rap beef, Draco pedophile, all of my opps get touched (straight up) We ain't never ran off on no barber, but we still be hoppin' out cuts (straight up)  Runnin', runnin', runnin', runnin' Runnin', runnin', I leave all my cars Runnin', runnin', runnin', runnin' Runnin', runnin', all my opps be Runnin', runnin', runnin', runnin' Runnin', runnin', wipe his nose, it was ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,"As you promised me that I was more than all the miles combined You must have had yourself a change of heart Like halfway through the drive 'Cause your voice trailed off exactly as you passed my exit sign Kept on driving straight and left our future to the right Now I am stuck between my anger  And the blame that I can't face And memories are something Even smoking weed does not replace And I am terrified of weather 'cause I see you when it rains Doc told me to travel, but there's COVID on the planes  And I love Vermont, but it's the season of the sticks and I Saw your mom she forgot that I existed and It's half my fault, but I just like to play the victim I'll drink alcohol 'til my friends come home for Christmas ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
