artist,song,lyrics
Tom Odell,Another Love,"Bitch, sit on my face, I attack that Choose up, lil' junt, I'm finna pack him When it comes to my bitch, I'm straight active Dirtball in the coupe smokin' cat piss  Lil' bitch, shut the fuck up Tell your best friend, shut the fuck up, ayy Lil' bitch, shut the fuck up Tell your best friend, shut the fuck up, ayy  You know I love it when you talk dirty Messy, you my orange soda shorty You act like a lil' me, I wanna fuck you You the type to kill me, I won't touch you  You want me drop a band on some cute shoes You want me be the man you can vent to ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Oscar Maydon, Junior H",Fin de Semana,"Now, I've wasted a paycheck on whiskey and long necks Ever since you left trying to figure this out This Jack I've been drinking's been wasted on thinking Now, I got a new reason for throwing 'em down Line 'em up (line 'em up), pour 'em tall (pour 'em tall) Here's to us, happily never after all  Ain't gonna waste one more night missing, wanting you back No, I ain't gonna cry another tear in this glass You didn't waste any time finding somebody new So, I ain't gonna waste another drop of whiskey on you No, I ain't  To hell with the lonely, and the-why-don't-you-want-me Yeah, bartender pour me a farewell round ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,"I love you Turn my headphone down a little bit, yeah For so many reasons Yeah, yeah, yeah, yeah, yeah, yeah (I do) Yeah, yeah yeah yeah Yeah, yeah, ah, ah, whoa, whoa, whoa, yeah  How much money you got? (Straight up) How much money you got? (Straight up) How much money you got? (Straight up) How much money you got? (A lot)  How much money you got? (A lot) How many problems you got? (A lot) How many people done doubted you? (A lot) Left you out to rot? (A lot) How many pray that you flop? (A lot) How many lawyers you got? (A lot) How many times you got shot? (A lot) How many niggas you shot? (A lot) How many times did you ride? (A lot) How many niggas done died? (A lot) How many times did you cheat? (A lot) How many times did you lie? (A lot) How many times did she leave? (A lot) How many times did she cry? (A lot) How many chances she done gave you Fuckin' around with these thots? (A lot)  Every day that I'm alive, I'ma ride with the stick I'd rather be broke in jail than be dead and rich Told my brothers take my breath if I turn to a snitch But I'm 21 4L, ain't no way I'ma switch  Break it on down, I break it on down I break it on down, I break it on down I break it down, I break it down I break it down, I break it down  Penitentiary chances just to make a couple bucks My heart so cold I could put it in my cup Gang vs. the world, me and my dawg, it was us Then you went and wrote a statement And that really fucked me up My brother lost his life and it turned me to a beast My brother got life and it turned me to the streets I been through the storm and it turned me to a G But the other side was sunny, I get paid to rap on beats ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Childish Gambino,Redbone,"Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt So me put in Work, work, work, work, work, work  When you ah guh Learn, learn, learn, learn, learn Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting  Dry me ah desert him Nuh time to have you lurking Him ah go act like he nah like it You know I dealt with you the nicest Nuh body touch me in the righteous Nuh botha text me in a crisis  I believed all of your dreams, adoration You took my heart and my keys and my patience You took my heart on my sleeve for decoration You mistaken my love I brought for you for foundation  All that I wanted from you was to give me Something that I never had Something that you've never seen Something that you've never been Mmm-mmm But I wake up and act like nothing's wrong Just get ready fi  Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Walters,I Love You So,"Walk around the world, it feel like every place the same I look into your eyes and see that you are in some pain Freddie gonna help the business, help a rope around your neck Gonna help you make a choice, let it sit, don't let it rest You a pest, what the fuck, you left a mess It's okay, I'll just say that your body's gone today You in Hell, I don't think you failed, you just made some bail Come that day, it gets worse, and I hope you fucking hurt  Now what's the word, captain? I think I caught you lackin' There are nine more layers than this hell's packin' No tippy tappin', bitch I come in rippy rappin' I feel lucky I'm not you At the top I do the do Stuck in the fuckin' darkness, and it's cold, and hot Haven't felt sun in some days, bitch, where do I start? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Baby Keem,ORANGE SODA,"Na-na-na  It's eight o'clock in the morning, now I'm entering my bed Had a few dreams about you, I can tell you what we did I expected to see you on your morning run again I know I shouldn't be watching 'cause every time I feel the pain  La, la-la-la-la, la-la La-la, la-la, la-la La, la-la-la-la, la-la La-la, la-la, la-la  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Nate Smith,Whiskey On You,"Fuckers in school telling me, always in the barber shop ""Chief Keef ain't 'bout this, Chief ain't 'bout that"" My boy a BD on fucking Lamron and them He, he, they say that nigga don't be putting in no work Shut the fuck up, y'all niggas ain't know shit All y'all motherfuckers talkin' about ""Chief Keef ain't no hitter, Chief Keef ain't this, Chief Keef a fake"" Shut the fuck up, y'all don't live with that nigga Y'all know that nigga got caught with a ratchet Shootin' at the police and shit Nigga been on probation since fuckin' I don't know when Motherfucker, stop fuckin' playin' him like that Them niggas savages out there If I catch another motherfucker talking sweet about Chief Keef I'm fucking beatin' they ass, I'm not fucking playin' no more Know them niggas roll with Lil Reese and them (Young Chop on the beat)  Love Sosa, bitches love Sosa, huh? Let them know then, 'Raris and Rovers (huh) Ayy, lil' Cobra, ayy, ayy Bang, bang-bang God, y'all some broke boys, God, y'all some broke boys  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
21 Savage,a lot,"Girl, our mamas are best friends and so are we The whole town's rooting for us like the home team Most likely to settle down Plant a few roots real deep and let 'em grow But we can't stop this real world from spinnin' us Your bright lights called, I don't blame you for pickin' up Your big dream bags are all packed up and ready to go But I just need you to know  That I love you more than a California sunset More than a beer when you ain't twenty-one yet More than a Sunday morning Lord Turnin' some poor lost souls 'round, and Hallelujah bound Yeah, I love you more than the feeling when the bass hits the hook When the guy gets the girl at the end of the book But, baby, this might be the last time I get to lay you down ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Rihanna, Drake",Work,"Half past twelve I was all alone I can't be compromised Fuckin' on my ex, we ain't apologize 'Cause I'm way too young and you always right  Threw it in my face, I'm on another flight Girl at home, I ain't been living right The little arguments always start the fight I had to get away so I'm with you tonight Is there another guy?  Be honest, honest, honest, are you honest? 'Cause I'm honest, honest, honest, let's be honest 'Cause I'm honest, honest, honest, are you honest? 'Cause I'm honest, honest, honest, let's be honest 'Cause I'm honest ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Freddie Dredd,Limbo,"I was scared of dentists and the dark I was scared of pretty girls and starting conversations Oh, all my friends are turning green You're the magician's assistant in their dream  Ah-ooh-ooh-ooh, ah-ahh-ah-ah And they come unstuck  Lady, running down to the riptide Taken away to the dark side I wanna be your left-hand man I love you when you're singing that song And I got a lump in my throat 'Cause you're gonna sing the words wrong  There's this movie that I think you'll like This guy decides to quit his job and heads to New York City This cowboy's running from himself And she's been living on the highest shelf  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
PinkPantheress,Pain,While she's been away Living day-to-day has been tough  I found her at my side Simply being alive has been rough  Know she won't be gone forever There are many times I find it feels that way  And I'm not trying to forget her ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
